-9113	3844	-7837
-9540	3788	-7697
-10041	3826	-7928
-10514	3819	-8274
-10925	3700	-8444
-11228	3588	-8668
-11287	3577	-8842
-11267	3605	-9002
-11353	3567	-9156
-11331	3580	-9166
-11333	3580	-9183
-11321	3584	-9188
-11264	3617	-9196
-10774	3826	-8939
-9892	3942	-8327
-8769	3862	-8056
-8047	3733	-8252
-7682	3667	-8550
-7685	3689	-8612
-7762	3727	-8591
-7787	3741	-8592
-7644	3719	-8793
-7413	3657	-9157
-7461	3704	-9533
-7594	3781	-9644
-7601	3786	-9668
-7292	3543	-10021
-6451	2798	-10064
-5457	1227	-9316
-5324	-286	-8811
-5442	-781	-8436
-5552	-1051	-8262
-5646	-1204	-8085
-5732	-1302	-7937
-5773	-1315	-7834
-5791	-1315	-7789
-5833	-1326	-7698
-5859	-1337	-7651
-5878	-1335	-7604
-5886	-1324	-7578
-5895	-1308	-7547
-5898	-1319	-7549
-5907	-1325	-7535
-5917	-1332	-7519
-5914	-1303	-7508
-5839	-1116	-7511
-5783	-927	-7522
-5729	-730	-7528
-5676	-444	-7553
-5606	-90	-7631
-5640	1095	-8054
-6662	2938	-8304
-8560	3898	-8165
-10301	3823	-8041
-11638	3174	-7956
-12523	2245	-7926
-12964	1346	-7969
-13157	797	-8066
-13170	700	-8060
-13187	722	-8134
-13181	744	-8128
-13206	753	-8213
-13187	715	-8146
-13184	608	-8091
-13217	653	-8201
-13252	620	-8300
-13255	583	-8292
-13245	598	-8265
-13253	579	-8287
-13278	505	-8344
-13276	408	-8329
-13274	333	-8290
-13282	287	-8324
-13292	294	-8359
-13150	419	-7906
-12764	615	-7136
-12175	993	-6423
-11213	1153	-5680
-10191	1006	-5196
-9265	591	-4997
-8809	596	-5011
-8654	655	-5036
-8672	574	-5022
-8551	516	-5034
-8367	509	-5067
-8335	494	-5072
-8344	465	-5068
-8314	448	-5073
-8312	432	-5073
-8337	457	-5068
-9070	452	-4991
-10456	406	-5215
-11683	385	-5893
-12361	368	-6563
-12801	419	-7208
-13081	419	-7770
-13256	436	-8282
-13383	357	-8840
-13409	225	-9544
